Mark,Total Weight (kg),Number of Records,Grade,Outturn,Bags,Pockets,Weight (kg),Status
MAXKABI EST,500,6,,,,,,
,,,AA,12IM0102,1,44,109.00,Unknown
,,,AB,12IM0102,4,37,277.00,Unknown
,,,PB,12IM0102,0,21,21.00,Unknown
,,,C,12IM0102,0,53,53.00,Unknown
,,,TT,12IM0102,0,17,29.00,Unknown
,,,HE,12IM0102,0,11,11.00,Unknown
CMK KINYUA FARM,1824,10,,,,,,
,,,MH,12IM0088,14,19,859.00,Unknown
,,,ML,12IM0088,12,25,745.00,Unknown
,,,AA,12IM0089,2,17,17.00,Unknown
,,,AB,12IM0089,4,56,56.00,Unknown
,,,PB,12IM0089,0,44,44.00,Unknown
,,,C,12IM0089,1,43,43.00,Unknown
,,,TT,12IM0089,0,5,5.00,Unknown
,,,E,12IM0089,0,4,4.00,Unknown
,,,T,12IM0089,0,35,34.00,Unknown
,,,HE,12IM0089,0,17,17.00,Unknown
BIMACK EST,12918,13,,,,,,
,,,E,08BU0001,0,39,39.00,Unknown
,,,AA,08BU0001,32,28,1954.00,Unknown
,,,PB,08BU0001,10,39,647.00,Unknown
,,,AB,08BU0001,56,5,3365.00,Unknown
,,,C,08BU0001,8,41,529.00,Unknown
,,,T,08BU0001,0,52,52.00,Unknown
,,,E,10BU0001,0,38,38.00,Unknown
,,,AA,10BU0001,20,23,1231.00,Unknown
,,,PB,10BU0001,11,35,696.00,Unknown
,,,AB,10BU0001,59,27,3577.00,Unknown
,,,C,10BU0001,9,48,597.00,Unknown
,,,T,10BU0001,1,13,73.00,Unknown
,,,HE,10BU0001,2,0,120.00,Unknown
ANOMKM EST,361,6,,,,,,
,,,E,09BU0013,0,1,1.00,Unknown
,,,AA,09BU0013,1,41,101.00,Unknown
,,,PB,09BU0013,0,31,31.00,Unknown
,,,AB,09BU0013,3,16,196.00,Unknown
,,,C,09BU0013,0,26,26.00,Unknown
,,,T,09BU0013,0,6,6.00,Unknown
BARIMOSHO EST,1474,6,,,,,,
,,,E,10BU0006,0,9,9.00,Unknown
,,,AA,10BU0006,6,49,410.00,Unknown
,,,PB,10BU0006,2,0,117.00,Unknown
,,,AB,10BU0006,13,11,792.00,Unknown
,,,C,10BU0006,2,1,126.00,Unknown
,,,T,10BU0006,0,20,20.00,Unknown
EMAIDO EST,88,5,,,,,,
,,,AA,09BU0003,0,24,24.00,Unknown
